State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Maharashtra,0,2003,2,24,900.0,100.0
Maharashtra,0,2003,2,27,2100.0,700.0
Maharashtra,0,2003,2,32,39200.0,39500.0
Maharashtra,0,2003,3,7,1300.0,2400.0
Maharashtra,0,2003,3,27,100.0,100.0
Maharashtra,0,2003,4,2,100.0,11170.0
Maharashtra,0,2003,4,6,331.0,7074.0
Maharashtra,0,2003,4,11,9294.0,17180.0
Maharashtra,0,2003,4,14,30003.0,296694.0
Maharashtra,0,2003,4,26,31200.0,1486800.0
Maharashtra,0,2003,4,29,1647.0,3291.0
Maharashtra,0,2004,1,0,12200.0,4800.0
Maharashtra,0,2004,1,1,240500.0,143400.0
Maharashtra,0,2004,1,7,5300.0,3900.0
Maharashtra,0,2004,1,8,100.0,100.0
Maharashtra,0,2004,1,10,11400.0,14000.0
Maharashtra,0,2004,1,12,13100.0,4300.0
Maharashtra,0,2004,1,13,2500.0,800.0
Maharashtra,0,2004,1,16,2900.0,1000.0
Maharashtra,0,2004,1,17,16300.0,4100.0
Maharashtra,0,2004,1,33,500.0,200.0
Maharashtra,0,2004,1,19,3000.0,2400.0
Maharashtra,0,2004,1,21,8000.0,5800.0
Maharashtra,0,2004,1,23,1100.0,400.0
Maharashtra,0,2004,1,27,11000.0,5800.0
Maharashtra,0,2004,1,31,5000.0,3100.0
Maharashtra,0,2004,2,5,61700.0,40900.0
Maharashtra,0,2004,2,8,555000.0,263300.0
Maharashtra,0,2004,2,9,1100.0,200.0
Maharashtra,0,2004,2,10,10900.0,22100.0
Maharashtra,0,2004,2,15,300.0,100.0
Maharashtra,0,2004,2,16,900.0,200.0
Maharashtra,0,2004,2,20,200.0,0.0
Maharashtra,0,2004,2,22,20800.0,12400.0
Maharashtra,0,2004,2,23,100.0,0.0
Maharashtra,0,2004,2,25,35500.0,51800.0
Maharashtra,0,2004,2,27,2600.0,1500.0
Maharashtra,0,2004,2,32,89300.0,154600.0
Maharashtra,0,2004,3,7,9500.0,11700.0
Maharashtra,0,2004,3,10,3100.0,4300.0
Maharashtra,0,2004,3,27,100.0,100.0
Maharashtra,0,2004,4,4,15900.0,26700.0
Maharashtra,0,2004,4,26,17000.0,1001800.0
Maharashtra,0,2005,1,0,11100.0,3800.0
Maharashtra,0,2005,1,1,217700.0,54800.0
Maharashtra,0,2005,1,3,400.0,100.0
Maharashtra,0,2005,1,4,16600.0,22800.0
Maharashtra,0,2005,1,7,4900.0,2400.0
Maharashtra,0,2005,1,12,8700.0,2400.0
Maharashtra,0,2005,1,13,2300.0,700.0
Maharashtra,0,2005,1,19,2900.0,2300.0
Maharashtra,0,2005,1,21,800.0,400.0
Maharashtra,0,2005,1,23,1000.0,200.0
Maharashtra,0,2005,1,25,37500.0,38800.0
Maharashtra,0,2005,1,26,56600.0,4395300.0
Maharashtra,0,2005,1,27,10100.0,5900.0
Maharashtra,0,2005,1,31,3700.0,1300.0
Maharashtra,0,2005,2,5,68600.0,47100.0
Maharashtra,0,2005,2,9,1200.0,400.0
Maharashtra,0,2005,2,20,300.0,100.0
Maharashtra,0,2005,2,22,21000.0,7200.0
Maharashtra,0,2005,2,23,100.0,100.0
Maharashtra,0,2005,2,27,2500.0,1000.0
Maharashtra,0,2005,2,32,103100.0,153800.0
Maharashtra,0,2005,3,7,9500.0,16200.0
Maharashtra,0,2005,3,27,100.0,100.0
Maharashtra,0,2006,1,0,13000.0,6600.0
Maharashtra,0,2006,1,1,243900.0,148900.0
Maharashtra,0,2006,1,4,20600.0,36500.0
Maharashtra,0,2006,1,7,6100.0,4800.0
Maharashtra,0,2006,1,8,100.0,100.0
Maharashtra,0,2006,1,10,17900.0,42400.0
Maharashtra,0,2006,1,12,16700.0,9900.0
Maharashtra,0,2006,1,13,2700.0,700.0
Maharashtra,0,2006,1,19,3100.0,2100.0
Maharashtra,0,2006,1,21,8400.0,6600.0
Maharashtra,0,2006,1,23,900.0,200.0
Maharashtra,0,2006,1,25,49000.0,64500.0
Maharashtra,0,2006,1,27,11800.0,6000.0
Maharashtra,0,2006,1,31,6100.0,2400.0
Maharashtra,0,2006,2,5,95800.0,65700.0
Maharashtra,0,2006,2,8,528400.0,274000.0
Maharashtra,0,2006,2,9,1000.0,300.0
Maharashtra,0,2006,2,10,15300.0,20000.0
Maharashtra,0,2006,2,20,100.0,25.0
Maharashtra,0,2006,2,22,17100.0,9300.0
Maharashtra,0,2006,2,23,100.0,100.0
Maharashtra,0,2006,2,27,2800.0,1100.0
